Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2011-11-24,23.799999237060547,24.0,23.0,23.549999237060547,22.83598518371582,78898,0.0,0.0
2011-11-25,23.549999237060547,24.75,23.100000381469727,24.75,23.999601364135742,63963,0.0,0.0
2011-11-28,26.0,26.0,23.799999237060547,24.200000762939453,23.466278076171875,209529,0.0,0.0
2011-11-29,24.75,25.399999618530273,24.299999237060547,24.799999237060547,24.048086166381836,105738,0.0,0.0
2011-11-30,24.799999237060547,25.350000381469727,24.25,24.5,23.757183074951172,37980,0.0,0.0
2011-12-01,25.0,25.5,24.5,24.899999618530273,24.145051956176758,58680,0.0,0.0
2011-12-02,24.049999237060547,25.75,24.049999237060547,25.299999237060547,24.53292465209961,44360,0.0,0.0
2011-12-05,25.25,25.450000762939453,24.799999237060547,25.0,24.242021560668945,24378,0.0,0.0
2011-12-07,25.299999237060547,25.5,24.899999618530273,25.100000381469727,24.3389892578125,34873,0.0,0.0
2011-12-08,24.799999237060547,25.299999237060547,24.299999237060547,24.5,23.757183074951172,39253,0.0,0.0
2011-12-09,24.200000762939453,24.600000381469727,23.649999618530273,23.950000762939453,23.223857879638672,38784,0.0,0.0
2011-12-12,24.600000381469727,25.100000381469727,23.5,23.600000381469727,22.88446807861328,38999,0.0,0.0
2011-12-13,24.0,24.0,22.5,22.899999618530273,22.205692291259766,43935,0.0,0.0
2011-12-14,23.299999237060547,23.299999237060547,22.649999618530273,22.700000762939453,22.011756896972656,21114,0.0,0.0
2011-12-15,23.0,23.0,22.049999237060547,22.200000762939453,21.52691650390625,51823,0.0,0.0
2011-12-16,22.5,22.75,21.799999237060547,22.0,21.332979202270508,56926,0.0,0.0
2011-12-19,22.0,22.100000381469727,20.899999618530273,20.899999618530273,20.26633071899414,49798,0.0,0.0
2011-12-20,19.850000381469727,20.5,19.850000381469727,19.850000381469727,19.248167037963867,49319,0.0,0.0
2011-12-21,19.700000762939453,19.899999618530273,18.899999618530273,18.899999618530273,18.326969146728516,85868,0.0,0.0
2011-12-22,18.049999237060547,19.850000381469727,17.950000762939453,19.850000381469727,19.248167037963867,105922,0.0,0.0
2011-12-23,20.799999237060547,20.799999237060547,20.100000381469727,20.799999237060547,20.169363021850586,39512,0.0,0.0
2011-12-26,21.799999237060547,21.799999237060547,20.600000381469727,21.649999618530273,20.99359130859375,99884,0.0,0.0
2011-12-27,21.799999237060547,21.799999237060547,20.649999618530273,20.75,20.120878219604492,90325,0.0,0.0
2011-12-28,20.75,20.75,19.75,20.299999237060547,19.684520721435547,32914,0.0,0.0
2011-12-29,20.0,20.100000381469727,19.549999237060547,19.75,19.15119743347168,24718,0.0,0.0
2011-12-30,19.549999237060547,20.100000381469727,19.5,19.799999237060547,19.19968032836914,35936,0.0,0.0
2012-01-02,19.5,20.100000381469727,19.5,20.0,19.393617630004883,43551,0.0,0.0
2012-01-03,19.0,21.0,19.0,20.700000762939453,20.07239532470703,70279,0.0,0.0
2012-01-04,20.0,20.700000762939453,20.0,20.5,19.87845802307129,36823,0.0,0.0
2012-01-05,20.200000762939453,20.899999618530273,19.899999618530273,20.0,19.393617630004883,59618,0.0,0.0
2012-01-06,19.600000381469727,20.5,19.600000381469727,20.149999618530273,19.53907012939453,45063,0.0,0.0
2012-01-09,20.450000762939453,20.649999618530273,20.0,20.350000381469727,19.73300552368164,70689,0.0,0.0
2012-01-10,20.399999618530273,22.350000381469727,20.399999618530273,22.350000381469727,21.672367095947266,98674,0.0,0.0
2012-01-11,23.700000762939453,24.549999237060547,22.5,24.549999237060547,23.8056640625,350522,0.0,0.0
2012-01-12,24.799999237060547,26.0,23.350000381469727,24.899999618530273,24.145051956176758,197105,0.0,0.0
2012-01-13,25.450000762939453,25.450000762939453,24.100000381469727,24.25,23.514760971069336,53159,0.0,0.0
2012-01-16,24.149999618530273,24.5,23.200000762939453,23.75,23.029922485351562,51030,0.0,0.0
2012-01-17,24.0,26.100000381469727,22.799999237060547,26.100000381469727,25.308671951293945,150595,0.0,0.0
2012-01-18,27.75,28.700000762939453,27.200000762939453,28.700000762939453,27.82984161376953,389399,0.0,0.0
2012-01-19,29.25,30.899999618530273,26.100000381469727,27.899999618530273,27.054096221923828,209386,0.0,0.0
2012-01-20,28.0,29.899999618530273,27.5,27.700000762939453,26.86016082763672,160351,0.0,0.0
2012-01-23,28.450000762939453,28.450000762939453,26.200000762939453,26.549999237060547,25.745025634765625,100191,0.0,0.0
2012-01-24,26.75,27.600000381469727,26.5,26.950000762939453,26.13290023803711,139187,0.0,0.0
2012-01-25,27.0,28.399999618530273,26.950000762939453,27.700000762939453,26.86016082763672,92778,0.0,0.0
2012-01-27,27.700000762939453,28.399999618530273,27.100000381469727,27.200000762939453,26.375320434570312,83409,0.0,0.0
2012-01-30,27.200000762939453,27.399999618530273,25.899999618530273,26.25,25.45412254333496,58648,0.0,0.0
2012-01-31,25.75,28.200000762939453,25.75,27.600000381469727,26.763193130493164,75315,0.0,0.0
2012-02-01,27.0,28.399999618530273,27.0,27.700000762939453,26.86016082763672,112071,0.0,0.0
2012-02-02,28.049999237060547,28.5,26.75,26.899999618530273,26.084415435791016,101251,0.0,0.0
2012-02-03,27.799999237060547,27.950000762939453,27.0,27.25,26.423805236816406,95227,0.0,0.0
2012-02-06,28.0,28.850000381469727,27.299999237060547,28.200000762939453,27.345003128051758,174860,0.0,0.0
2012-02-07,28.899999618530273,28.899999618530273,27.0,27.299999237060547,26.472286224365234,85859,0.0,0.0
2012-02-08,27.350000381469727,28.25,27.100000381469727,27.549999237060547,26.71470832824707,75876,0.0,0.0
2012-02-09,28.0,30.299999237060547,27.549999237060547,30.299999237060547,29.381330490112305,192887,0.0,0.0
2012-02-10,30.950000762939453,32.400001525878906,30.5,31.0,30.06010627746582,366002,0.0,0.0
2012-02-13,27.899999618530273,29.549999237060547,27.899999618530273,28.799999237060547,27.926807403564453,237634,0.0,0.0
2012-02-14,28.5,30.649999618530273,28.149999618530273,29.75,28.848005294799805,162111,0.0,0.0
2012-02-15,30.299999237060547,31.899999618530273,29.799999237060547,29.950000762939453,29.041942596435547,227564,0.0,0.0
2012-02-16,30.25,30.399999618530273,29.100000381469727,29.350000381469727,28.460134506225586,100696,0.0,0.0
2012-02-17,29.700000762939453,30.5,29.0,29.25,28.36316680908203,171912,0.0,0.0
2012-02-21,29.0,29.649999618530273,28.299999237060547,29.25,28.36316680908203,81323,0.0,0.0
2012-02-22,29.799999237060547,30.399999618530273,27.0,27.350000381469727,26.52077293395996,165862,0.0,0.0
2012-02-23,27.100000381469727,27.649999618530273,25.850000381469727,26.799999237060547,25.987445831298828,83944,0.0,0.0
2012-02-24,27.399999618530273,27.5,26.0,26.200000762939453,25.4056396484375,85025,0.0,0.0
2012-02-27,26.200000762939453,26.200000762939453,25.25,25.600000381469727,24.82383155822754,89277,0.0,0.0
2012-02-28,26.0,27.399999618530273,25.5,27.049999237060547,26.229867935180664,82688,0.0,0.0
2012-02-29,26.5,29.200000762939453,26.5,27.600000381469727,26.763193130493164,94217,0.0,0.0
2012-03-01,27.200000762939453,27.899999618530273,27.0,27.200000762939453,26.375320434570312,49856,0.0,0.0
2012-03-02,27.0,27.5,26.75,27.200000762939453,26.375320434570312,41534,0.0,0.0
2012-03-05,27.0,27.25,26.049999237060547,26.350000381469727,25.55109214782715,35879,0.0,0.0
2012-03-06,26.5,27.899999618530273,25.850000381469727,26.049999237060547,25.26018524169922,79092,0.0,0.0
2012-03-07,25.549999237060547,26.200000762939453,25.5,25.75,24.969284057617188,35173,0.0,0.0
2012-03-09,26.049999237060547,26.700000762939453,25.75,25.950000762939453,25.163219451904297,46458,0.0,0.0
2012-03-12,26.25,27.0,26.25,26.549999237060547,25.745025634765625,30309,0.0,0.0
2012-03-13,27.0,27.200000762939453,26.25,26.350000381469727,25.55109214782715,45396,0.0,0.0
2012-03-14,26.149999618530273,27.149999618530273,26.149999618530273,26.399999618530273,25.59957504272461,38809,0.0,0.0
2012-03-15,26.25,26.649999618530273,25.25,25.399999618530273,24.629894256591797,48101,0.0,0.0
2012-03-16,25.649999618530273,25.899999618530273,24.899999618530273,25.0,24.242021560668945,32964,0.0,0.0
2012-03-19,24.799999237060547,25.5,24.100000381469727,24.299999237060547,23.56324577331543,65843,0.0,0.0
2012-03-20,24.549999237060547,24.700000762939453,23.450000762939453,23.950000762939453,23.223857879638672,55973,0.0,0.0
2012-03-21,24.100000381469727,24.600000381469727,23.549999237060547,24.299999237060547,23.56324577331543,28733,0.0,0.0
2012-03-22,24.799999237060547,24.950000762939453,23.850000381469727,24.049999237060547,23.320823669433594,40400,0.0,0.0
2012-03-23,23.549999237060547,24.549999237060547,23.549999237060547,24.0,23.272340774536133,40983,0.0,0.0
2012-03-26,24.0,24.600000381469727,23.399999618530273,23.399999618530273,22.69053077697754,34594,0.0,0.0
2012-03-27,23.600000381469727,23.799999237060547,22.100000381469727,23.0,22.30265998840332,57730,0.0,0.0
2012-03-28,22.649999618530273,23.399999618530273,22.399999618530273,22.549999237060547,21.866302490234375,58625,0.0,0.0
2012-03-29,23.0,23.200000762939453,22.0,22.950000762939453,22.25417709350586,38019,0.0,0.0
2012-03-30,23.0,23.899999618530273,23.0,23.200000762939453,22.496597290039062,63045,0.0,0.0
2012-04-02,24.0,24.0,23.0,23.799999237060547,23.07840347290039,49482,0.0,0.0
2012-04-03,24.0,28.549999237060547,23.850000381469727,28.549999237060547,27.684389114379883,375704,0.0,0.0
2012-04-04,29.399999618530273,32.25,27.399999618530273,30.450000762939453,29.526782989501953,873005,0.0,0.0
2012-04-09,30.399999618530273,31.700000762939453,29.149999618530273,29.700000762939453,28.799522399902344,283215,0.0,0.0
2012-04-10,30.0,30.350000381469727,29.149999618530273,30.0,29.09042739868164,141674,0.0,0.0
2012-04-11,28.600000381469727,31.200000762939453,28.600000381469727,29.950000762939453,29.041942596435547,221881,0.0,0.0
2012-04-12,30.399999618530273,30.700000762939453,29.600000381469727,30.049999237060547,29.1389102935791,86257,0.0,0.0
2012-04-13,30.399999618530273,30.399999618530273,27.799999237060547,28.299999237060547,27.44196891784668,75936,0.0,0.0
2012-04-16,28.75,29.5,27.5,28.600000381469727,27.732872009277344,27351,0.0,0.0
2012-04-17,28.100000381469727,29.5,27.950000762939453,28.149999618530273,27.29651641845703,28645,0.0,0.0
2012-04-18,28.5,28.799999237060547,28.049999237060547,28.299999237060547,27.44196891784668,41461,0.0,0.0
2012-04-19,28.049999237060547,29.200000762939453,28.049999237060547,28.299999237060547,27.44196891784668,68820,0.0,0.0
2012-04-20,28.5,28.649999618530273,27.450000762939453,27.700000762939453,26.86016082763672,44823,0.0,0.0
2012-04-23,27.100000381469727,27.75,26.350000381469727,26.600000381469727,25.79351234436035,40494,0.0,0.0
2012-04-24,27.0,28.600000381469727,26.299999237060547,27.549999237060547,26.71470832824707,73910,0.0,0.0
2012-04-25,27.549999237060547,27.75,26.350000381469727,26.649999618530273,25.841995239257812,41784,0.0,0.0
2012-04-26,26.549999237060547,27.0,26.25,26.5,25.696544647216797,31124,0.0,0.0
